DateTime,WindSpeed_mph,WindDir,Temperature_C
2024-01-15 08:00:00,5.2,45,10.5
2024-01-15 08:15:00,6.1,50,10.8
2024-01-15 08:30:00,5.8,42,11.0
2024-01-15 08:45:00,6.5,48,11.2
2024-01-15 09:00:00,7.2,90,12.0
2024-01-15 09:15:00,8.1,95,12.5
2024-01-15 09:30:00,7.5,88,12.8
2024-01-15 09:45:00,8.3,92,13.0
2024-01-15 10:00:00,10.2,180,14.5
2024-01-15 10:15:00,11.5,175,14.8
2024-01-15 10:30:00,10.8,185,15.0
2024-01-15 10:45:00,12.1,178,15.2
2024-01-15 11:00:00,9.5,270,15.5
2024-01-15 11:15:00,10.2,265,15.8
2024-01-15 11:30:00,9.8,275,16.0
2024-01-15 11:45:00,10.5,268,16.2
